"TSTEP","MONTH","YEAR","EUP_mir45","COP_mir45","MZP_mir45","PhL_mir45","PhS_mir45"
1,1,2006,-2.37311557112218,-1.90863760102448,-2.23957589727869,1.31320680490382,-2.86645704046445
2,2,2006,-4.7351882278812,-3.2247259323739,-1.43096767700315,0.854956806852357,-0.426604595604367
3,3,2006,-1.06142274013498,-1.35942251086899,-1.48883097996909,0.35331609368579,-0.290330502818415
4,4,2006,-0.958848522001135,-0.831913342724172,-0.886760206355055,0.192351977120371,-0.387615576679813
5,5,2006,-0.0342175165264447,-0.296475783148892,-0.371245798660326,0.287606014299124,-0.771687187908952
6,6,2006,0.208930675304946,0.0359718272364384,-0.553429674013252,0.271630023955541,-0.379627655850365
7,7,2006,0.438683049677892,-0.0146570373324404,-0.170209504639899,0.833214592531711,-0.512455359549136
8,8,2006,0.126468328255702,-0.371951925402215,-0.138760649988646,0.109948988941572,-0.6551490273355
9,9,2006,0.0837681991347767,-0.368027387496241,-0.165299545875976,-0.145560873367245,-0.702704515164022
10,10,2006,0.163435771951506,-0.330185968658631,-0.205321772618088,-0.0316851069159171,-0.844643152688969
11,11,2006,-0.0167512439918175,-0.460748851141322,-0.336651925912255,-0.036460533207435,-0.879515721507058
12,12,2006,0.38821777475298,-0.21067659426208,-0.455287441770599,-0.0650493249171384,-1.00660383239879
13,1,2007,-0.0288203999121934,-0.424598845046637,0.102740216276962,-0.232357957342593,-0.118733711311461
14,2,2007,0.740009489674581,-0.028635428525105,-0.0583466659512147,-0.222815550569624,0.0959279785126395
15,3,2007,-0.0646484827303485,0.0127510862363445,-0.21637433777536,-0.2872695812374,0.0340860138142323
16,4,2007,0.275278661971881,0.278661778277206,-0.371308422070028,-0.228015558187775,0.0384460016932975
17,5,2007,-0.536138820466171,-0.456206716784961,-0.394346045210591,-0.31124218932653,0.0502284456491588
18,6,2007,-0.122740888684239,-0.160637793038279,-0.28971175172143,-0.028880225440393,-0.0383999679719673
19,7,2007,0.129061057577241,-0.168607617843221,-0.0238694977272395,0.291516354620828,0.0605438012206505
20,8,2007,0.107468339239776,-0.386526886933738,-0.0202253430118144,1.09481705648158,0.0582156955573048
21,9,2007,0.600667204944963,-0.10799186597057,0.0285839779712436,0.715978083974595,-0.0720302281945546
22,10,2007,-0.0198886523141342,-0.466393235592984,0.0324636512419947,0.940018216687889,-0.112371884061293
23,11,2007,0.0193671539876945,-0.444489422400096,-0.0542457109398952,0.795050183998917,0.00469017290766693
24,12,2007,1.08671142689756,0.102920765345707,-0.296598926057834,0.508351324352567,0.307142150917642
25,1,2008,0.407059857284003,-0.203629741188925,0.4998717330081,-0.0458847566696943,0.24834902154897
26,2,2008,1.8742776323855,0.850572570716722,0.480593973441597,-0.115982560314455,-0.094695431915252
27,3,2008,0.122146939016575,0.0602348923145399,-0.112846415173166,0.026322851579061,-0.226347578328357
28,4,2008,-0.159503929705098,-0.351116129591977,-0.140171380381881,0.154636470992909,-0.285230383265143
29,5,2008,-0.0248895410269215,-0.238818508441826,0.113785336822259,0.106858358590331,-0.294395953432331
30,6,2008,0.209435658814026,0.137758654737736,-0.050926604634576,-0.11526585168545,-0.122343258704765
31,7,2008,-0.0494076457343642,-0.350890528303232,-0.186807398788163,0.0155865169986265,-0.0111885852395057
32,8,2008,0.280951549361949,-0.275910812029441,-0.0255483518251993,-0.0378945029139304,-0.0781989837119872
33,9,2008,-0.10892157637395,-0.496086527955873,-0.0344878501859477,-0.151631767712456,-0.0481744145307766
34,10,2008,-0.106188805081467,-0.495897571604556,-0.0133843941517439,-0.126568018972525,0.134297044067342
35,11,2008,0.0757700035126057,-0.387356490984009,-0.145610224208589,-0.212182692090687,-0.0191563632857313
36,12,2008,-0.438433386042805,-0.750340009982467,-0.214994672888794,-0.17283001292337,1.13641570302225
37,1,2009,0.539909554843554,-0.043705359487029,1.14089117783713,-0.232390079837677,1.73146846445464
38,2,2009,2.5206480816016,1.17463906742385,0.551968863518643,-0.325070774324316,0.222329355406315
39,3,2009,0.616741959021401,0.768699459659667,0.585246237169621,-0.264548754763206,0.0223667541104591
40,4,2009,0.0521857387801419,0.0169024734695533,-0.0367277445394918,-0.283657430401443,0.0306390369713023
41,5,2009,-0.122187465000031,0.229695639205805,-0.30221305882515,-0.545951069865597,0.254888263255727
42,6,2009,-0.307502846127354,-0.356231446139415,-0.430082796917967,-0.272259392795384,0.191579187817542
43,7,2009,-0.0686485366538364,-0.329430389345964,-0.030406791403701,-0.0204110169117854,0.377028574277661
44,8,2009,0.236192736780989,-0.269549246074364,-0.0348092889085629,-0.121760551336822,0.485831875629558
45,9,2009,-0.0953187916656331,-0.492465582089083,-0.0129087676596641,-0.168052744218882,0.657834715595222
46,10,2009,-0.114416463274604,-0.501007609321176,0.0418301196170623,-0.415302408471886,1.21572419058804
47,11,2009,0.308170644496574,-0.242770446452929,0.242298272231442,-0.511827508840949,0.609603672430224
48,12,2009,-0.300794390665768,-0.631333716039193,-0.211112561496341,-0.330079112067213,0.45117429336715
49,1,2010,0.483358604528995,-0.0140052583625501,0.609148885846092,-0.302109848273351,2.17408548763278
50,2,2010,2.69784105875243,1.53545695339073,0.941654949394383,-0.258996820366041,0.199670889774201
51,3,2010,-0.0396687223165421,0.0346101213596068,-0.12879720838548,-0.308984006652904,-0.0157932770217216
52,4,2010,-0.350645632281671,-0.212349295559191,-0.22710135205532,-0.202636283536493,-0.026220472595497
53,5,2010,0.0127781618390894,0.231097621972175,-0.0262355574716854,-0.129948919101266,0.130076931697958
54,6,2010,-0.212456903522637,-0.269649333017342,0.0121057667868365,-0.150237072982911,-0.0054291150142316
