"TSTEP","MONTH","YEAR","EUP_gfd45","COP_gfd45","MZP_gfd45","PhL_gfd45","PhS_gfd45"
1,1,2006,-2.3830625758869,-1.95952712048105,-1.59909904465673,1.32745409776435,-1.32123718385373
2,2,2006,-2.14488269488138,-1.6023102933847,-0.687074587406407,1.08515170676396,-0.151866448976388
3,3,2006,-0.386235036732502,-0.454195544451266,-0.492663934443671,0.544990426880528,-0.127728304807718
4,4,2006,0.39365463597672,0.507414721830149,0.0593321854576305,-0.00120148651459939,-0.15077225297666
5,5,2006,0.167490739915636,0.217209437720283,-0.0939029510699795,-0.0404904150214576,-0.14256888540422
6,6,2006,0.112919024435103,0.0390517438029567,-0.0885477850340222,-0.0718187800520393,-0.210531182198905
7,7,2006,0.130255346935516,-0.188539595953308,-0.0823700204233252,-0.116500813286314,-0.301447130098732
8,8,2006,-0.169016043121058,-0.512682873572033,-0.020427405114183,-0.0688250483023105,-0.427049560150496
9,9,2006,-0.171277886768279,-0.548919061445631,-0.00560373804952896,-0.209236281082915,-0.539513003785546
10,10,2006,0.126988145549005,-0.386927881320299,0.12376701191528,-0.0389753074048317,-0.411236577149237
11,11,2006,-0.131511157984165,-0.569222504429268,-0.0764543438914465,0.3025466660598,-0.751076866016734
12,12,2006,0.279000184378553,-0.319726158569234,0.156608444920157,0.4362525223404,-0.306148428104667
13,1,2007,0.0622928619484653,-0.379874490411099,0.153975777999874,0.0175104643179922,-0.36179528949377
14,2,2007,-0.195446173089601,-0.564784397445129,-0.0351096005598698,0.0228905887938844,-0.130410415205426
15,3,2007,-0.25305213366529,-0.292291785759413,-0.105827819587448,0.111033012708275,-0.125539792311148
16,4,2007,0.10616883773557,0.0147970391094026,-0.0891813378317802,-0.155769410320976,-0.201206166397288
17,5,2007,-0.233490232325102,-0.189994411641604,-0.234462793292301,-0.331097635687164,-0.356128538172841
18,6,2007,-0.213394875248318,-0.266128710558968,-0.300004832547568,-0.227755485364382,-0.168788806301164
19,7,2007,0.149355651119844,-0.170626350571022,-0.0120099508726519,0.159461678396829,0.0358364277708865
20,8,2007,-0.217192523677892,-0.525543080186293,-0.0832714736054195,-0.134041671777684,-0.1581466113316
21,9,2007,0.0793680603886378,-0.36566595844086,-0.0745186088579326,-0.25685604502411,-0.19392389106882
22,10,2007,-0.147484858473058,-0.525776109958225,-0.0364665481779306,-0.404517632486729,0.127243237788511
23,11,2007,-0.1604328032223,-0.538627408611369,0.162092573007134,-0.324159446098572,0.22486967568411
24,12,2007,0.699923206734312,0.0330356292090925,0.0789330963948343,-0.204253940724197,-0.070857590825085
25,1,2008,-0.0895317781944277,-0.592732453250465,-0.0472547294861695,-0.0739200759190554,-0.269533376737686
26,2,2008,-0.307811557643076,-0.656281318069348,-0.0794459540654989,-0.128438942260688,-0.0996842107939974
27,3,2008,-0.335669196185351,-0.443229419229043,-0.388835272557859,-0.307558688641482,-0.152162417844678
28,4,2008,-0.678391166265071,-0.670274529746443,-0.648569574603609,-0.243409065491147,-0.210748290653968
29,5,2008,-0.412445675167456,-0.361318426691236,-0.514512788172925,-0.507549611915231,-0.538254723253982
30,6,2008,-0.203427685908802,-0.270601299506904,-0.464003685534999,-0.0805286491607153,-0.213570600956377
31,7,2008,-0.062689682589517,-0.364842966395571,-0.125979003105408,0.309227922645909,-0.0705465758074763
32,8,2008,0.377014270547229,-0.214518699519038,-0.0690972389036861,0.0597946126956916,-0.0614403301627339
33,9,2008,-0.115559662916332,-0.469637555638197,-0.12439784797257,-0.24242649064843,-0.131207639209645
34,10,2008,-0.135137236807894,-0.491611984857982,-0.147518619688639,-0.408977148005159,0.0334564639128616
35,11,2008,-0.0244275191423073,-0.457734582459753,-0.319738967523184,-0.483669216940749,0.497202319915662
36,12,2008,-0.658834114261255,-0.884793129381415,-0.0626643217221047,-0.42355424408373,1.92247276972046
37,1,2009,0.608388906508404,0.00139383849569286,1.50929991771891,-0.292511778485302,3.65804365410946
38,2,2009,2.68183875400839,0.857046584085803,0.96245181918281,-0.197232510649041,-0.0187614155718679
39,3,2009,-0.0993784687845822,-0.176556534501109,0.0219223151645689,-0.227054777321896,-0.128623898501342
40,4,2009,-0.202683322057567,-0.248058984470355,0.0625439136949386,-0.040535663580212,-0.13349625944489
41,5,2009,0.0532495826414776,0.107269475983145,-0.0402707155353335,-0.115579145429752,-0.0402090220897735
42,6,2009,-0.11486216938778,-0.193509233956441,-0.110365415698359,-0.0422471242554957,0.0701955460413486
43,7,2009,-0.0638859694704407,-0.350269630586937,0.130399340789157,0.101315089327021,0.0669106758025557
44,8,2009,0.228971072151476,-0.301293797704527,-0.0246887092508511,-0.0258315466317119,-0.101400006899141
45,9,2009,-0.0729540671592569,-0.471611033966803,0.00078927687600383,-0.217130486525107,-0.0154972113665655
46,10,2009,-0.161932240515929,-0.535068763318568,-0.0365569862710307,-0.402892802311651,-0.288611809262041
47,11,2009,0.283224305818513,-0.255971727479282,0.043528820968409,-0.49357668603255,-0.45407002384479
48,12,2009,-0.134164734954178,-0.631708849539527,-0.239067541364065,-0.322911316285846,-0.537561145575217
49,1,2010,0.680908726342178,-0.0429420550206868,0.0843460535616427,-0.271694459040007,-0.243567613988569
50,2,2010,-1.41211566757096,-1.24002712641128,-0.334921617916899,-0.183589351086826,-0.14768719964922
51,3,2010,-0.394539218982486,-0.484288012843151,-0.330304283904114,0.218677523691508,-0.126604849526691
52,4,2010,-0.352848734363421,-0.314460018648372,0.374648000584564,0.301730331383558,-0.0728319284763809
53,5,2010,0.201037831341105,0.290041793262408,0.122108583673989,0.139453042178486,0.0323202997816303
54,6,2010,0.134640566142582,0.0407217356237743,0.030725840042497,0.0222540935725051,-0.038536681232873
55,7,2010,-0.0590395397425485,-0.331372499361676,-0.0653469062204767,-0.106273943256978,-0.0517505166209861
56,8,2010,0.119298761109617,-0.323337805364897,-0.0753472273815101,-0.146959585651529,0.229536701789661
57,9,2010,-0.0656020092808307,-0.439996230588936,-0.0225271599032731,-0.240265406199944,0.693018922580604
58,10,2010,0.183654422753118,-0.300608886876639,0.130225229844207,-0.324189952663988,0.895749194393065
59,11,2010,0.175537840697304,-0.307098627323552,0.275527773059376,-0.288204623530573,0.531138669141518
60,12,2010,0.273695565816438,-0.385298726202772,0.129656031487079,-0.0186348645593232,0.466693778482149
61,1,2011,0.423886159791644,-0.172385026389602,0.283600267036459,-0.0656535893154785,0.592954206124461
62,2,2011,1.99864174971699,1.36115492841975,0.762787086684204,0.0942838425560473,0.467796990173174
63,3,2011,0.405790522910891,0.704008090996957,0.56653852400803,-0.072764191847835,0.107620542894583
64,4,2011,0.100130528478568,0.107247681965093,-0.167521378757056,-0.224767957667705,0.0445048122006335
65,5,2011,0.144083093917262,0.238850075433901,0.241319528293958,0.520461547980193,0.298243235383254
66,6,2011,0.0775395207703178,0.0244156551021855,0.323584274763343,0.24453624830719,0.00271577826056113
67,7,2011,0.138671504160621,-0.190620382244567,0.102260624253356,-0.147043332844628,-0.194824599174844
68,8,2011,-0.262875551078644,-0.560608487898598,0.00509612712629148,0.0222965779190849,-0.211414250877569
69,9,2011,-0.126010466622286,-0.517344352867039,0.0841752343793989,0.352230512052881,-0.110733861384887
70,10,2011,0.299272219427483,-0.280886556574331,0.103045371939889,0.307862338799701,-0.0529246185707613
71,11,2011,0.321109799247606,-0.269797881092642,0.359548803262968,0.0228496754361158,-0.0978928563664659
72,12,2011,0.339560624398261,-0.250204208136506,0.159232656195199,0.125055715695973,-0.923015990723986
73,1,2012,-0.59449716812235,-0.72747232902385,-0.790666099721415,-0.0139546968919299,-1.03462261573413
74,2,2012,-1.96334902630729,-1.51408952072414,-0.552883634650029,-0.105927377210721,-0.154761054148492
75,3,2012,-0.41376128655879,-0.506826412566826,-0.602125759959757,-0.272968082867921,-0.150021280788786
76,4,2012,-0.495883550728235,-0.430830257369823,-0.482371452455551,-0.0538221340801398,-0.139652673736964
77,5,2012,-0.179353589421716,-0.0860278761948982,-0.193313240990101,-0.235000791142342,-0.198202218907821
78,6,2012,-0.109320460857504,-0.173339317777848,-0.32201534234728,-0.261946093715915,-0.197111168483198
79,7,2012,0.2521537711863,-0.112968974244112,-0.20249578811746,0.170997320584813,0.0994038333618952
80,8,2012,0.0619211406120628,-0.407698341001154,-0.0271357905580988,0.0602811113325594,0.112095015589537
