"TSTEP","MONTH","YEAR","EUP_ces45","COP_ces45","MZP_ces45","PhL_ces45","PhS_ces45"
1,1,2006,-1.0541079975906,-1.1103419160778,-0.857832391402289,0.0308915048208624,-1.13309291142956
2,2,2006,-2.0354648093357,-1.61957145645848,-0.484519710492248,0.840205073200144,-0.229414645882511
3,3,2006,-0.528394406525333,-0.600730009803373,0.824076735134606,0.67437941907304,-0.136537500765128
4,4,2006,0.310253402283292,0.320718873363947,0.287719274115525,-0.0614084193756615,-0.198417678524351
5,5,2006,-0.109968492280909,-0.111222386665357,-0.054514894467668,-0.0203874191444448,-0.331207373715344
6,6,2006,-0.159235113128318,-0.217230032483567,-0.0669695775466249,-0.20615823089437,-0.28544551971833
7,7,2006,0.0528954007326585,-0.25040057372555,-0.106204427208181,0.0918349243106178,-0.37974974678023
8,8,2006,-0.136493007590917,-0.495344160622529,-0.0754188112474765,0.344132406005098,-0.479152167309719
9,9,2006,-0.214710316930511,-0.552592403065475,-0.0653345711581692,0.0646234205129774,-0.634301885958177
10,10,2006,-0.0419695017526359,-0.4662493348386,-0.26633334579037,-0.157982642004533,-0.546391090763342
11,11,2006,-0.225977624497684,-0.590308755211092,-0.352766629690539,-0.354482039631026,-0.543823644004553
12,12,2006,-0.461776741313359,-0.706466378988887,-0.444397798292433,0.0544983720531624,-0.781909316353
13,1,2007,-0.821398500532375,-0.975044169285534,-0.749587915042795,0.0506958328018645,-1.15670830692871
14,2,2007,-2.04675592033708,-1.62861980922034,-0.583413188459637,0.187521184957465,-0.246825558897053
15,3,2007,-0.640391468452415,-0.809633624644096,-0.275932605240153,0.0398850025995892,-0.159460717145083
16,4,2007,-0.176112023785748,-0.0379591378480663,0.367398392514376,-0.165742681951768,-0.216886270720528
17,5,2007,-0.159847068866504,-0.0349005762190069,0.145422175948424,-0.0454118415123469,-0.2859399220852
18,6,2007,-0.179582690978178,-0.192519959000779,0.182194280255398,-0.0391394331788186,-0.185337359415899
19,7,2007,0.0874669860977626,-0.215751790596544,0.114715769730721,-0.00176742086161918,-0.340775212580494
20,8,2007,-0.195257923770258,-0.532108709827975,-0.0356893347924083,0.231408191795897,-0.511310911027084
21,9,2007,-0.0442946575300951,-0.459647701161868,0.0555704558129897,0.431443092918606,-0.615412010416769
22,10,2007,-0.0898631228567032,-0.493210581520504,0.0686356146007012,0.292162787553971,-0.457358992313299
23,11,2007,-0.132432664401061,-0.537093474121927,-0.161626359960965,-0.215614385073878,-0.415123583707497
24,12,2007,-0.0999746709476312,-0.51117365010598,-0.139942512561626,0.200561607504309,-0.40913300398192
25,1,2008,-0.64480982257808,-0.879742029120199,-0.391513080359575,0.0471143019784028,-0.987152154700885
26,2,2008,-2.04755417855689,-1.63139476879544,-0.582440189659759,0.01235825628412,-0.249271868994911
27,3,2008,-0.65204788056933,-0.844286939173764,-0.972663900908531,-0.0531200133009107,-0.163033388779461
28,4,2008,-0.744651304531022,-0.697719118247728,-0.375779730237584,-0.227856142493911,-0.231372416906188
29,5,2008,-0.364522468683651,-0.332548655676579,-0.432195307712187,-0.456300302314958,-0.444659146687467
30,6,2008,0.233393009584688,0.150205503107048,-0.399186834251935,0.0761055320086947,-0.210662659671293
31,7,2008,0.0232094679132704,-0.297917011620946,-0.0686463284081461,0.227382068496928,-0.153972993980435
32,8,2008,0.224213015734809,-0.326135868555788,-0.0629945179270941,-0.0197762992300746,-0.226965627242359
33,9,2008,-0.0774133050479417,-0.50623655292039,-0.0164210109911168,0.387586347908029,-0.333340544073429
34,10,2008,-0.0560684404926655,-0.480037421019765,0.0802135802624042,0.726713777458962,-0.384715903958281
35,11,2008,0.0946742749767522,-0.408788797368141,-0.171326862546903,0.929328959242502,-0.590645663528953
36,12,2008,-0.40894913207055,-0.701016874275125,-0.391168173644144,0.590069432361302,-0.641059324086445
37,1,2009,-0.256457294695821,-0.597266938743389,0.144499884020804,0.685725237718362,1.36646414800328
38,2,2009,2.43189865318604,1.36018193200482,0.890225909748054,-0.108257197963941,0.179681515007623
39,3,2009,-0.0315961372676933,-0.025778192198603,-0.47493260260976,-0.111351698876848,-0.167768663059076
40,4,2009,-0.310886515981707,-0.340563213418468,-0.12113010535579,-0.00417274912170007,-0.208965215184501
41,5,2009,0.224936386850408,0.301437289561497,-0.109687494628702,-0.00811232405283735,-0.304493773749589
42,6,2009,-0.0996723275979395,-0.199744974654098,0.120032572015796,0.0481359243937931,-0.181325539839437
43,7,2009,-0.0796260549062683,-0.353486841618336,0.00519382483445407,-0.0363015302892548,-0.220589125779597
44,8,2009,0.164981502222892,-0.331431333320666,0.0683406112767693,0.737785832309854,-0.284579796527042
45,9,2009,0.123722066434988,-0.373431089758775,0.0823566766068988,0.444484943383118,-0.518772450697327
46,10,2009,-0.0148165311383218,-0.473083286916486,-0.0233857704196498,0.436648788226175,-0.448073398417377
47,11,2009,0.0243087402187752,-0.476356795735438,-0.0791378146960282,0.635785925766349,-0.419712223495308
48,12,2009,-0.440064746614984,-0.726178738842969,-0.376717582693056,0.241124384468285,-0.771100601882322
49,1,2010,-0.934208139376211,-1.04912037237591,-0.753635238436617,0.603214022567953,-1.15398385063837
50,2,2010,-1.7972462120568,-1.47631885970248,-0.339923323232878,0.344401932238738,-0.256943560262121
