"TSTEP","MONTH","YEAR","EUP_ces85","COP_ces85","MZP_ces85","PhL_ces85","PhS_ces85"
1,1,2006,-0.890203733347537,-0.985497312766789,-0.759574640103567,-0.271556857285527,-0.807575180470121
2,2,2006,-2.22391334059567,-1.71231941775699,-0.728372967366105,-0.245697011025997,-0.184676024093669
3,3,2006,-0.527471575164416,-0.651137173471192,-0.365757397092296,0.337278118808028,-0.147547150461106
4,4,2006,0.104087003062214,0.179824267624256,0.0444067185955541,0.185313901626671,-0.170130160943367
5,5,2006,-0.0333022796474239,-0.040156424683211,-0.162937091010963,-0.125664409240459,-0.27009537797018
6,6,2006,-0.144045074853234,-0.207201427268281,-0.331664919403286,-0.128911312264961,-0.205184688019157
7,7,2006,0.123378732551934,-0.200175062723953,-0.117939435150313,0.152482584472608,-0.0994026432693003
8,8,2006,-0.0823966285531429,-0.466226563533396,-0.120994298629934,-0.171624782392347,-0.224217328459512
9,9,2006,-0.121428071216523,-0.488534436467575,-0.027184006767669,0.161661828794569,-0.353106795815949
10,10,2006,0.282165731112154,-0.294704004939413,0.137182093485998,1.1494726933193,-0.060836051459963
11,11,2006,0.146701375140356,-0.362639233669742,0.18259375859289,0.829022754081357,-0.0539644212464601
12,12,2006,0.0731470084191592,-0.449823651829029,-0.126918250692081,-0.235297950823181,-0.264245889292159
13,1,2007,-0.83423357852158,-0.958134846320901,-0.605440462027479,0.244832876719794,-0.77886241015948
14,2,2007,-2.19086793281054,-1.68132937996147,-0.578834252018664,0.0499751332316476,-0.167862616033542
15,3,2007,-0.550977303209799,-0.720820889036444,-0.690396908187704,-0.220122587867691,-0.162866294076154
16,4,2007,-0.073058116935274,0.0172097297525502,-0.127208104960891,0.275577827346275,-0.154321256224982
17,5,2007,0.000689374292373479,0.0265860663963955,0.0388899774668661,0.26576212960441,-0.110494174427532
18,6,2007,-0.0813003849706668,-0.120546822729614,-0.0448473301419617,-0.265856876619047,-0.16539863785445
19,7,2007,0.0991029938224421,-0.203859664669093,-0.227811562195054,-0.049094467820875,-0.168077205909402
20,8,2007,-0.000242475746019766,-0.41861362572992,-0.026150509953373,0.235114372413136,-0.230443136144859
21,9,2007,0.174176719156333,-0.349335299895558,-0.172718607030391,-0.226540103717147,-0.453527607782085
22,10,2007,-0.111234260267432,-0.513694533099662,-0.00985126367543121,0.347615413065175,-0.148191386517027
23,11,2007,0.049957229876104,-0.423483648132997,-0.00615885096975544,0.749011182773219,-0.128496020372776
24,12,2007,0.0263901538206801,-0.50038457834816,-0.197821538374579,0.00795666730431677,-0.32777739540415
25,1,2008,-0.0749112590123145,-0.497757131825712,-0.0379484228893904,0.293609330126877,-0.12269228452249
26,2,2008,1.49404988026335,0.429312575782923,0.383103819497578,0.433040415833712,-0.0699528302279213
27,3,2008,0.362358268533807,0.610104102049047,0.136629229754578,-0.134729346906284,-0.153032440081931
28,4,2008,0.229812857369962,0.233714751191962,-0.405817512516622,-0.205826786063628,-0.193644896678627
29,5,2008,-0.145746326080744,-0.0499270495194254,-0.057431888088605,-0.138832578645979,-0.216403802724945
30,6,2008,0.0508657392528631,0.0201808236213208,0.0911558972218787,-0.108301488506312,-0.130836629878161
31,7,2008,-0.192534098958774,-0.437715182626979,-0.12712968906661,-0.137075612758651,-0.165219425948338
32,8,2008,0.0523418405961602,-0.396432934364168,0.118240578064337,0.170578353839527,-0.114740115349641
33,9,2008,-0.179281953797239,-0.534349624103892,0.0360758114813355,0.646525840904513,-0.251903406346344
34,10,2008,-0.175476264290425,-0.52834007623696,0.163363263423487,0.2212470380473,-0.228170516179068
35,11,2008,-0.0469610631446549,-0.472404451564562,-0.172307313716799,-0.494590472875693,-0.404834233320884
36,12,2008,-0.177892850333212,-0.565835366738811,-0.262827422384954,0.0179662450225688,-0.447804833516987
37,1,2009,-0.273811160428917,-0.576443358016749,-0.446589131842825,-0.104070442901407,-0.646712356697505
38,2,2009,-0.676939748785696,-0.700416891510838,-0.441062574009088,-0.67863251419357,-0.195177466261054
39,3,2009,-0.530421600253536,-0.696700675383667,-0.876273174982109,-0.201987319718787,-0.168453349058861
40,4,2009,-0.884817510797289,-0.89554321754419,-0.408291525848025,-0.108811464765505,-0.207327155003867
